,,Acc,Acc,Acc,Acc,Acc
,,min,max,median,std,mean
real time,real time,,,,,
27 days,09:00:00,0.0004790790537185785,50867.23833630885,37.59101406736363,862.0266374129554,361.5798107393636
27 days,10:00:00,0.0002820831787175848,24682.775531690975,28.88255453695274,633.8903468672712,190.10346967641067
27 days,11:00:00,0.0002740793274824682,46075.7418748426,36.63237053243495,717.2607719479538,281.39576083340216
27 days,12:00:00,7.444565017067362e-05,31947.780885701697,29.412810618297954,356.54519232951856,112.3443856904122
27 days,13:00:00,7.132519385777414e-05,12769.92161852857,31.253807935766417,513.2917118949507,190.80867218632272
27 days,14:00:00,0.0006754347268724814,22237.996775237778,29.932158068992067,576.2444686911654,182.1082693652766
27 days,15:00:00,0.00018551273916500577,12374.3212476463,25.597597413910762,397.7094215093455,104.16982076319368
27 days,16:00:00,0.00028486761584645137,9220.181465497973,32.78087461933217,483.25206962396936,158.56378439788585
27 days,17:00:00,0.0013283879411574162,9017.63884991236,145.7212301430991,559.2633509307543,377.96985824130496
27 days,18:00:00,0.00011597682441788493,48513.80375088439,241.97955611068392,1062.7505995727186,621.1782181466782
27 days,19:00:00,0.00488605872305925,61533.60270877698,637.2594684271708,1804.8145240481208,1117.6070353955688
27 days,20:00:00,0.0031153319405348157,51692.91839391118,360.9077758658032,1219.8613715061006,782.1385680222487
27 days,21:00:00,0.002758210334832256,55741.182226213816,717.3041759177295,1311.4791691572452,1097.2912387908727
27 days,22:00:00,0.01129246282744134,47022.04277036445,604.3669029678995,1013.4873292135693,894.9196673788607
27 days,23:00:00,0.00048464961400895845,61422.59948024679,693.5415486548927,1451.299947416852,1137.0389293503279
28 days,00:00:00,0.0016157586624103715,60017.313606188385,864.9549162623787,1640.7806869631406,1308.8520628485348
28 days,01:00:00,0.0010630451861288748,61961.114866847085,350.39259990823894,1224.5066565306854,712.3977784458426
28 days,02:00:00,0.0009915295504470123,54633.36158629152,442.4135529347486,1342.0638757815316,868.5379619291135
28 days,03:00:00,0.009159979020296305,61071.053376412936,773.7155308517531,1141.5367582882334,1101.5083948750373
28 days,04:00:00,0.005199361205995956,55345.85277593419,668.0127335531629,1534.3747876345067,1182.1444270807433
28 days,05:00:00,0.00042835549766095937,51098.00698158585,52.99223668751165,1040.9759821149564,553.4366090821986
28 days,06:00:00,0.00043265955497417963,9432.66470810954,29.49918222367785,477.0219384566082,166.23697576202977
28 days,07:00:00,0.0004845791195293714,15864.99138999213,34.36178027356232,553.5310700283866,209.1681006357426
28 days,08:00:00,0.0002765538788480626,10734.22488491642,26.171173300790542,298.71006876182014,94.77950936293799
28 days,09:00:00,0.0011299773686914705,59959.72148222923,40.04319118593514,718.6236603389149,278.6216634512733
28 days,10:00:00,0.00032125162579177413,45905.40951343111,31.723660770198876,502.7848262463354,167.36878606343026
28 days,11:00:00,0.0009346018850919791,53459.35609336089,38.48864111823241,730.6843684047088,237.00147700246106
28 days,12:00:00,0.0002957458546006819,11046.707512366032,26.996919096958663,401.39137291702644,103.05857783053365
28 days,13:00:00,0.000242641305703728,48777.64873291821,35.80599250094474,612.0688688411033,223.02763349928463
28 days,14:00:00,5.716528175980784e-05,29672.446663119124,29.183160688578482,327.7314740831266,94.23317172338761
28 days,15:00:00,0.0005590949012912461,13850.509367331075,30.2816339878882,658.0478447640324,195.69601889134046
28 days,16:00:00,1.5224935850710608e-05,7263.259079985903,30.250666324925078,435.03952090836515,147.20051802970178
28 days,17:00:00,0.000890326441549405,12806.524741292342,146.03909552685263,587.0959046093908,360.4499983031908
28 days,18:00:00,0.0007226416419143789,56241.55740891673,251.62030955608645,937.3297763979338,518.1973595486639
28 days,19:00:00,0.005899457284613163,61254.275204291196,550.6859071132249,1399.989510903112,955.8795797947275
28 days,20:00:00,0.004333419488830259,46696.87019030548,407.1450646264211,976.3518978043204,746.3232947956365
28 days,21:00:00,0.007905479618784739,59903.33691799405,693.3803587005677,1171.6165927340821,1039.931709699608
28 days,22:00:00,0.011364382161900721,56849.3355465473,614.3662987598982,987.0592899927922,892.5585741252007
28 days,23:00:00,0.016242622608842794,55657.723692146545,692.649526931843,1053.6100812654993,983.5849900108419
29 days,00:00:00,0.0026900855509666144,58844.161965057,629.4073159630489,1313.6992525160842,992.2038030873074
29 days,01:00:00,0.0014288530073827133,58464.21075943533,521.5081620751625,1054.6885240485988,835.1218005970826
29 days,02:00:00,0.00033704618908814155,58118.49321503753,532.5524284447979,1231.6645479413894,844.6868836338238
29 days,03:00:00,0.0023555175862384203,61078.787561838886,567.5251954526584,1522.5205780496424,993.5632240722052
29 days,04:00:00,0.003937815304652759,56496.6359827383,745.0470753723712,1562.0307142697745,1239.3442039868391
29 days,05:00:00,0.0005811649144789044,46700.085169865095,47.040587228631466,672.0994966260761,290.65769809239663
29 days,06:00:00,0.00015087585688888794,22185.070566988004,36.560376682327615,717.7629430726824,288.4224398452164
29 days,07:00:00,0.0003234752148273401,51668.11267930318,39.17069867108603,708.1980505967643,289.22750762054727
29 days,08:00:00,0.001271619742965413,56805.95250285161,53.5203563844789,880.3810026854657,372.59910631326886
29 days,09:00:00,0.0006513521993838367,45980.703772281595,45.843184354505865,1361.661383391804,703.5456117388154
29 days,10:00:00,1.4948207535780966e-05,2708.8479436203897,15.436586100847308,29.320105628616016,18.746200997463344
29 days,11:00:00,0.0,23161.44690958721,26.707790637258313,1309.9060446250267,523.5824051068809
